Time,Result,Package,Elapsed
2024-06-12 13:20:15.009533179 -0400 EDT,pass,github.com/appliedres/arkloud-api/client/announcement,0.005
2024-06-12 13:20:15.011969733 -0400 EDT,pass,github.com/appliedres/arkloud-api/client/approvals,0.007
2024-06-12 13:20:15.012468564 -0400 EDT,pass,github.com/appliedres/arkloud-api/client/application,0.008
2024-06-12 13:20:15.020115193 -0400 EDT,pass,github.com/appliedres/arkloud-api/client/brand,0.015
2024-06-12 13:20:15.021014972 -0400 EDT,pass,github.com/appliedres/arkloud-api/client/user,0.015
2024-06-12 13:20:15.02384308 -0400 EDT,pass,github.com/appliedres/arkloud-api/client/assets,0.019
2024-06-12 13:20:15.025861118 -0400 EDT,pass,github.com/appliedres/arkloud-api/client,0.021
2024-06-12 13:20:15.026904798 -0400 EDT,pass,github.com/appliedres/arkloud-api/client/core,0.022
2024-06-12 13:20:15.575675713 -0400 EDT,pass,github.com/appliedres/arkloud-api/cmd/arkloud-server,0.003
2024-06-12 13:20:15.575925241 -0400 EDT,pass,github.com/appliedres/arkloud-api/common/logging,0.003
2024-06-12 13:20:15.576457459 -0400 EDT,pass,github.com/appliedres/arkloud-api/common/config,0.004
2024-06-12 13:20:15.576483128 -0400 EDT,pass,github.com/appliedres/arkloud-api/common/cryptorand,0.004
2024-06-12 13:20:15.576572269 -0400 EDT,pass,github.com/appliedres/arkloud-api/common,0.004
2024-06-12 13:20:15.576992253 -0400 EDT,pass,github.com/appliedres/arkloud-api/common/validation,0.004
2024-06-12 13:20:17.231241102 -0400 EDT,pass,github.com/appliedres/arkloud-api/features,0.003
2024-06-12 13:20:17.231542452 -0400 EDT,pass,github.com/appliedres/arkloud-api/features/approvals,0.003
2024-06-12 13:20:17.231598976 -0400 EDT,pass,github.com/appliedres/arkloud-api/features/announcement,0.004
2024-06-12 13:20:17.231670096 -0400 EDT,pass,github.com/appliedres/arkloud-api/e2e/helpers,0.004
2024-06-12 13:20:17.232533119 -0400 EDT,pass,github.com/appliedres/arkloud-api/features/cloud,0.004
2024-06-12 13:20:17.23256996 -0400 EDT,pass,github.com/appliedres/arkloud-api/features/brand,0.004
2024-06-12 13:20:17.234290027 -0400 EDT,pass,github.com/appliedres/arkloud-api/features/assets,0
2024-06-12 13:20:17.248786307 -0400 EDT,pass,github.com/appliedres/arkloud-api/features/assets,0.02
2024-06-12 13:20:17.260222256 -0400 EDT,pass,github.com/appliedres/arkloud-api/features/database,0.004
2024-06-12 13:20:17.26025741 -0400 EDT,pass,github.com/appliedres/arkloud-api/features/database/engines,0.004
2024-06-12 13:20:17.262389518 -0400 EDT,pass,github.com/appliedres/arkloud-api/features/user,0.004
